year,quarter,region,economic_activity,facility_size,no_of_faicility,saudi_employees,male_saudies,female_saudies,foreign_employees,male_foreigners,female_foreigners
2023,1,المنطقة الشرقية,الصناعة,متوسطة,139,3245,2010,1235,10389,10328,61
2023,1,منطقة الباحة,الصناعة,صغيرة,27,122,73,49,515,515,0
2023,1,منطقة الباحة,الصناعة,متناهية الصغر,43,13,11,2,87,87,0
2023,1,منطقة الباحة,الصناعة,متوسطة,7,120,68,52,438,434,4
2023,1,منطقة الجوف,الصناعة,صغيرة,31,103,60,43,415,414,1
2023,1,منطقة الجوف,الصناعة,متناهية الصغر,39,3,3,0,85,84,1
2023,1,منطقة الجوف,الصناعة,متوسطة,15,297,214,83,1084,1084,0
2023,1,منطقة الحدود الشمالية,الصناعة,صغيرة,21,58,31,27,302,302,0
2023,1,منطقة الحدود الشمالية,الصناعة,كبيرة,1,215,213,2,184,184,0
2023,1,منطقة الحدود الشمالية,الصناعة,متناهية الصغر,36,9,6,3,84,84,0
2023,1,منطقة الحدود الشمالية,الصناعة,متوسطة,4,93,51,42,269,268,1
2023,1,منطقة الرياض,الصناعة,صغيرة,1390,2186,962,1224,23976,23862,114
2023,1,منطقة الرياض,الصناعة,كبيرة,38,5463,3622,1841,12515,12489,26
2023,1,منطقة الرياض,الصناعة,متناهية الصغر,1781,307,160,147,4621,4585,36
2023,1,منطقة الرياض,الصناعة,متوسطة,373,5217,2547,2670,27579,27525,54
2023,1,منطقة القصيم,الصناعة,صغيرة,167,437,255,182,2840,2836,4
2023,1,منطقة القصيم,الصناعة,كبيرة,8,903,737,166,2554,2553,1
2023,1,منطقة القصيم,الصناعة,متناهية الصغر,273,49,31,18,711,710,1
2023,1,منطقة القصيم,الصناعة,متوسطة,44,955,548,407,3337,3337,0
2023,1,منطقة المدينة المنورة,الصناعة,صغيرة,101,262,167,95,1416,1414,2
2023,1,منطقة المدينة المنورة,الصناعة,كبيرة,7,1155,795,360,2491,2488,3
2023,1,منطقة المدينة المنورة,الصناعة,متناهية الصغر,174,37,27,10,410,402,8
2023,1,منطقة المدينة المنورة,الصناعة,متوسطة,42,1046,753,293,3748,3744,4
2023,1,منطقة تبوك,الصناعة,صغيرة,30,113,63,50,374,370,4
2023,1,منطقة تبوك,الصناعة,كبيرة,2,381,353,28,533,533,0
2023,1,منطقة تبوك,الصناعة,متناهية الصغر,50,17,9,8,112,112,0
2023,1,منطقة تبوك,الصناعة,متوسطة,8,221,145,76,694,694,0
2023,1,منطقة جازان,الصناعة,صغيرة,73,198,115,83,1085,1083,2
2023,1,منطقة جازان,الصناعة,كبيرة,2,433,418,15,343,343,0
2023,1,منطقة جازان,الصناعة,متناهية الصغر,141,28,20,8,338,337,1
2023,1,منطقة جازان,الصناعة,متوسطة,31,683,417,266,2013,2013,0
2023,1,منطقة حائل,الصناعة,صغيرة,40,68,37,31,489,489,0
2023,1,منطقة حائل,الصناعة,كبيرة,1,254,254,0,164,163,1
2023,1,منطقة حائل,الصناعة,متناهية الصغر,137,25,17,8,324,324,0
2023,1,منطقة حائل,الصناعة,متوسطة,11,201,120,81,945,945,0
2023,1,منطقة عسير,الصناعة,صغيرة,159,518,324,194,2339,2331,8
2023,1,منطقة عسير,الصناعة,كبيرة,6,1082,836,246,1727,1726,1
2023,1,منطقة عسير,الصناعة,متناهية الصغر,292,63,33,30,751,746,5
2023,1,منطقة عسير,الصناعة,متوسطة,45,971,574,397,3336,3335,1
2023,1,منطقة مكة المكرمة,الصناعة,صغيرة,268,778,389,389,3742,3728,14
2023,1,منطقة مكة المكرمة,الصناعة,كبيرة,16,2973,1981,992,6085,6078,7
2023,1,منطقة مكة المكرمة,الصناعة,متناهية الصغر,511,150,85,65,1234,1224,10
2023,1,منطقة مكة المكرمة,الصناعة,متوسطة,101,2289,1358,931,7804,7794,10
2023,1,منطقة نجران,الصناعة,صغيرة,35,89,41,48,502,501,1
